                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2944,                 3.8099,                 3.8006,                      0,                      0,                      0,                      0,                 3.1067,                 4.5479,                 3.9288,             0.00047142,             0.00047142,             0.00047142
                      2,                 2.6759,                 2.7223,                 2.7797,                0.54603,                0.20156,                 0.1918,                0.04706,                 2.5189,                 3.8374,                 2.6637,             0.00093837,             0.00093837,             0.00093837
                      3,                 2.2093,                 2.1953,                 2.3001,                0.43991,                0.58539,                0.57902,                0.22166,                  1.991,                 2.5938,                 2.2307,              0.0013959,              0.0013959,              0.0013959
                      4,                 1.9915,                 1.8812,                 2.0891,                0.42301,                0.57138,                0.51803,                0.24673,                 1.7705,                 2.0105,                 2.0033,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.8296,                 1.6525,                 1.9321,                0.57051,                 0.6159,                0.63872,                0.35951,                 1.5958,                 1.6596,                 1.8225,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.7387,                 1.5058,                 1.8354,                0.66997,                0.70646,                0.75934,                0.40608,                 1.5975,                 1.5126,                 1.7854,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.6593,                  1.375,                 1.7896,                0.80793,                0.74711,                0.81811,                0.46226,                 1.4709,                 1.3402,                 1.7194,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.5925,                 1.2503,                 1.7254,                0.85274,                0.82436,                0.88896,                 0.5126,                 1.4706,                 1.1628,                 1.6673,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.5485,                  1.174,                 1.6705,                0.88141,                0.78039,                0.86363,                0.46671,                 1.5213,                 1.1666,                 1.6988,                0.00133,                0.00133,                0.00133
                     10,                 1.4875,                 1.0898,                 1.6373,                0.86063,                0.87491,                0.91297,                0.57116,                  1.282,                0.93989,                 1.4919,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.4423,                 1.0112,                 1.5869,                0.90068,                0.86347,                0.94812,                0.58661,                 1.2435,                0.92672,                 1.4997,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.4608,                 1.0035,                 1.5797,                0.94488,                0.87282,                0.94957,                0.57294,                 1.3415,                0.88936,                 1.5105,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.3952,                 0.9697,                 1.5389,                 0.9339,                0.84782,                0.93924,                0.61245,                 1.2085,                0.84695,                 1.4596,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.3482,                0.89775,                 1.5067,                0.91095,                0.90234,                0.94966,                0.62089,                 1.1824,                0.82776,                 1.4385,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.3448,                 0.8961,                 1.4964,                0.95724,                0.91513,                0.97042,                  0.659,                   1.17,                0.77413,                 1.3897,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.3431,                0.87731,                 1.4902,                 0.9216,                  0.923,                0.96813,                0.65916,                 1.1566,                0.76724,                 1.3835,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.3118,                0.85463,                 1.4733,                0.96003,                0.93056,                0.97059,                 0.6614,                  1.171,                0.74693,                 1.4051,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.2717,                0.82545,                 1.4449,                0.92421,                0.90227,                0.94966,                0.62124,                 1.2527,                0.77208,                 1.4921,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.2719,                0.81025,                 1.4399,                 0.9407,                0.94273,                0.97002,                0.66805,                 1.1028,                0.66975,                 1.3608,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.2344,                 0.7842,                 1.4213,                  0.943,                 0.9344,                0.97118,                0.66277,                 1.1502,                0.66593,                 1.3914,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.2459,                0.77693,                 1.4207,                0.97778,                0.95219,                0.97756,                0.67603,                 1.1007,                0.63953,                 1.3437,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.1912,                 0.7558,                 1.3878,                0.95908,                0.94563,                0.97635,                0.65032,                 1.2087,                0.66391,                 1.3952,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.2261,                 0.7742,                 1.4153,                0.95191,                0.95458,                 0.9784,                 0.6737,                  1.067,                0.62742,                 1.3314,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.1952,                0.74214,                 1.3866,                0.96002,                0.93641,                0.97747,                0.69534,                 1.0544,                0.59979,                 1.3111,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.1853,                0.73591,                 1.3813,                0.96837,                0.97049,                0.98182,                0.70387,                 1.0349,                0.59999,                 1.2785,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.1691,                0.71566,                 1.3581,                0.97041,                0.96797,                0.97791,                0.69425,                 1.0593,                0.59401,                 1.3256,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.1516,                0.70355,                 1.3514,                0.95844,                0.94318,                0.97911,                0.70788,                 1.0229,                 0.5997,                 1.3068,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.1625,                0.69916,                 1.3617,                0.94874,                0.96243,                0.97796,                0.69815,                 1.0303,                0.57881,                 1.2991,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.1633,                0.69931,                 1.3577,                0.98002,                0.94517,                0.97985,                0.68291,                 1.0828,                 0.6092,                 1.3447,               0.001047,               0.001047,               0.001047
                     30,                 1.1186,                0.67838,                  1.339,                0.96091,                 0.9425,                0.97326,                0.64776,                 1.1894,                0.61013,                 1.3774,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.1171,                0.67773,                  1.338,                0.97144,                0.95841,                0.98382,                0.70622,                 1.0259,                0.54882,                  1.283,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.1271,                0.68248,                 1.3427,                0.96225,                0.97238,                0.98461,                0.71087,                 1.0516,                 0.5579,                 1.3023,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.1037,                0.66676,                 1.3238,                0.95933,                0.96248,                0.98273,                0.71949,                0.98769,                0.55062,                 1.2636,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.1096,                0.65403,                 1.3205,                0.96663,                0.95612,                0.98855,                0.71859,                0.99313,                 0.5503,                 1.2603,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.0897,                 0.6489,                 1.3096,                0.96184,                0.96605,                0.98516,                0.71479,                0.98622,                0.53925,                  1.267,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0694,                0.64326,                 1.2968,                0.97314,                 0.9583,                0.98252,                0.72519,                0.98206,                0.53398,                 1.2492,               0.000948,               0.000948,               0.000948
                     37,                 1.0578,                0.61637,                 1.2756,                0.98282,                0.96875,                0.98786,                0.71957,                0.97777,                0.51547,                  1.259,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0649,                0.62475,                 1.2952,                0.96415,                0.97232,                0.98813,                 0.7265,                0.99823,                0.53325,                 1.2436,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0537,                 0.6264,                 1.2878,                0.96338,                0.96973,                0.98644,                0.72774,                0.99198,                0.52344,                 1.2636,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0579,                0.62133,                 1.2903,                0.96649,                0.97735,                 0.9891,                0.72863,                0.95733,                0.50416,                 1.2313,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0329,                0.60895,                 1.2742,                 0.9855,                 0.9661,                0.98578,                0.72227,                0.98691,                0.50735,                  1.245,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.0364,                0.60645,                 1.2669,                 0.9796,                0.96296,                0.98662,                0.72536,                0.96258,                0.49866,                 1.2213,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0295,                0.60049,                 1.2708,                0.97623,                0.97739,                0.99152,                0.74033,                 0.9458,                0.47447,                 1.2179,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0275,                0.59223,                 1.2603,                0.98113,                0.97494,                 0.9918,                0.74108,                0.94015,                0.48281,                 1.2283,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.0158,                0.59001,                 1.2533,                0.99018,                0.96959,                0.98942,                0.73252,                0.98077,                0.48617,                 1.2466,             0.00082067,             0.00082067,             0.00082067
                     46,                0.99966,                0.58037,                 1.2397,                0.98484,                0.97684,                0.98874,                0.73431,                0.93428,                0.52874,                 1.2136,             0.00080653,             0.00080653,             0.00080653
                     47,                0.98898,                0.58288,                 1.2414,                0.97954,                0.98202,                0.99215,                 0.7337,                0.94687,                0.47998,                 1.2258,             0.00079238,             0.00079238,             0.00079238
                     48,                 0.9867,                0.56884,                 1.2363,                0.98109,                0.97268,                0.98959,                0.73556,                 0.9484,                0.46411,                  1.215,             0.00077823,             0.00077823,             0.00077823
