                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85395,                0.41981,                 1.0741,                0.85608,                0.85259,                0.82313,                0.68854,                0.67634,                 1.1077,                0.96432,               0.008878,               0.008878,               0.008878
                     37,                0.85009,                0.42204,                 1.0648,                 0.8505,                0.86315,                0.82455,                0.69523,                0.67864,                 1.1023,                0.96444,               0.008845,               0.008845,               0.008845
                     38,                0.84921,                0.42008,                 1.0665,                0.85609,                0.86066,                0.81805,                0.67576,                 0.6918,                 1.1543,                0.96723,               0.008812,               0.008812,               0.008812
                     39,                0.85971,                0.42162,                 1.0715,                0.84966,                0.86326,                0.83659,                0.69923,                0.70666,                 1.1497,                0.97971,               0.008779,               0.008779,               0.008779
                     40,                0.83999,                0.42032,                 1.0677,                0.84078,                0.86063,                0.81965,                0.66519,                0.71101,                 1.2447,                0.98129,               0.008746,               0.008746,               0.008746
                     41,                0.83102,                0.41333,                 1.0525,                 0.8503,                0.86105,                0.81712,                 0.6826,                 0.6675,                 1.1071,                0.96049,               0.008713,               0.008713,               0.008713
                     42,                 0.8396,                0.41549,                 1.0668,                0.85241,                0.85852,                0.82251,                0.68983,                0.67724,                 1.1766,                0.96277,                0.00868,                0.00868,                0.00868
                     43,                0.82465,                0.41462,                 1.0528,                0.85357,                0.85934,                0.81935,                0.68417,                0.67827,                 1.1315,                0.95767,               0.008647,               0.008647,               0.008647
                     44,                0.81596,                0.40618,                 1.0444,                0.85456,                0.85682,                0.81191,                0.68306,                0.65851,                 1.0743,                0.95055,               0.008614,               0.008614,               0.008614
                     45,                0.81499,                0.40335,                  1.044,                0.85729,                 0.8567,                0.82018,                0.67911,                0.66995,                 1.2642,                0.95546,               0.008581,               0.008581,               0.008581
                     46,                0.82227,                0.40606,                 1.0533,                0.84711,                0.84633,                0.78046,                0.62385,                0.77844,                 3.0692,                  1.002,               0.008548,               0.008548,               0.008548
                     47,                0.81987,                0.40666,                 1.0542,                 0.8566,                0.85553,                 0.7995,                0.66123,                0.68574,                 1.3857,                0.95624,               0.008515,               0.008515,               0.008515
                     48,                0.80409,                0.39979,                 1.0434,                0.85898,                0.85206,                0.80501,                0.66432,                0.66797,                 1.1528,                 0.9598,               0.008482,               0.008482,               0.008482
                     49,                0.81595,                0.40823,                  1.048,                 0.8546,                0.85973,                0.82493,                 0.6967,                0.65461,                 1.1795,                0.94967,               0.008449,               0.008449,               0.008449
                     50,                0.81405,                0.40546,                 1.0472,                0.85441,                0.85948,                0.81609,                0.68509,                0.67146,                 1.1555,                0.95003,               0.008416,               0.008416,               0.008416
                     51,                0.80433,                0.40206,                 1.0452,                0.85258,                0.85696,                0.79954,                0.66356,                0.69133,                 1.2943,                0.95684,               0.008383,               0.008383,               0.008383
                     52,                0.79772,                0.39802,                 1.0328,                0.85297,                0.85401,                0.81528,                0.68208,                0.70465,                  1.212,                0.96861,                0.00835,                0.00835,                0.00835
                     53,                0.78592,                0.39473,                 1.0302,                0.84894,                0.86441,                0.82775,                0.70262,                0.63355,                 1.1577,                0.94402,               0.008317,               0.008317,               0.008317
                     54,                0.80007,                0.39671,                 1.0399,                0.85395,                0.86637,                0.82849,                0.70571,                0.62117,                 1.0701,                0.93837,               0.008284,               0.008284,               0.008284
                     55,                0.79536,                0.39995,                 1.0401,                0.85307,                0.86128,                0.81749,                0.69491,                 0.6326,                 1.1096,                0.94447,               0.008251,               0.008251,               0.008251
                     56,                0.79112,                0.39399,                 1.0394,                0.85447,                0.86312,                0.81889,                 0.6929,                0.63874,                 1.0427,                0.94377,               0.008218,               0.008218,               0.008218
                     57,                0.79666,                0.39535,                 1.0394,                0.85156,                0.86078,                0.83133,                0.69634,                0.66169,                 1.0864,                0.95282,               0.008185,               0.008185,               0.008185
                     58,                0.78969,                0.39282,                 1.0297,                0.85158,                 0.8618,                0.80021,                0.67155,                0.67074,                 1.1885,                0.95971,               0.008152,               0.008152,               0.008152
                     59,                0.78919,                0.39032,                 1.0265,                0.85641,                0.86031,                 0.8044,                0.67671,                0.65604,                 1.1995,                0.95323,               0.008119,               0.008119,               0.008119
                     60,                0.78543,                0.39013,                 1.0345,                0.85641,                0.86166,                0.80978,                  0.679,                0.67435,                 1.2754,                0.95946,               0.008086,               0.008086,               0.008086
                     61,                0.77167,                0.38528,                 1.0216,                0.85748,                0.85132,                0.80167,                 0.6788,                0.63376,                 1.2277,                 0.9425,               0.008053,               0.008053,               0.008053
                     62,                0.77897,                 0.3842,                 1.0276,                0.85415,                0.85802,                0.80694,                0.67859,                0.65212,                 1.4531,                0.94596,                0.00802,                0.00802,                0.00802
                     63,                0.77393,                 0.3861,                 1.0252,                0.85389,                0.85379,                0.80496,                0.67879,                0.64646,                 1.1582,                0.94897,               0.007987,               0.007987,               0.007987
                     64,                0.76621,                0.38452,                 1.0217,                0.85606,                 0.8516,                0.82767,                0.69584,                0.67075,                 1.1447,                0.95384,               0.007954,               0.007954,               0.007954
                     65,                0.77345,                0.39146,                 1.0332,                0.85121,                 0.8621,                0.80007,                 0.6516,                 0.6983,                 1.4001,                0.97413,               0.007921,               0.007921,               0.007921
                     66,                0.77039,                0.38383,                 1.0271,                0.85294,                0.85928,                0.81964,                0.69873,                0.63416,                 1.2322,                0.94414,               0.007888,               0.007888,               0.007888
                     67,                0.76011,                0.37896,                 1.0243,                0.85095,                0.85755,                0.80162,                0.67712,                 0.6546,                 1.2076,                0.95842,               0.007855,               0.007855,               0.007855
                     68,                0.76946,                0.38268,                 1.0317,                0.84861,                0.86312,                0.82971,                0.70337,                0.66053,                 1.2026,                0.95038,               0.007822,               0.007822,               0.007822
