                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.5885,                 5.4076,                 4.0752,                0.00284,                0.02401,                0.00528,                0.00075,                 3.3341,                 5.3552,                 4.0598,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 3.4732,                 5.3654,                 4.0639,                0.00229,                0.03184,                0.00237,                0.00059,                 3.3307,                 5.3516,                   4.05,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 3.4931,                 5.3653,                 4.0528,                 0.0015,                0.02969,                0.00175,                0.00039,                 3.3279,                 5.3617,                 4.0412,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                  3.457,                 5.3448,                 4.0415,                0.00157,                0.02972,                0.00155,                0.00036,                 3.3244,                  5.413,                 4.0374,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                 3.3836,                 5.3483,                  4.045,                0.00165,                0.03517,                0.00193,                0.00035,                 3.3308,                 5.4498,                 4.0314,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                  3.449,                 5.3125,                  4.032,                0.00177,                0.04437,                0.00231,                0.00036,                 3.3273,                 5.3491,                 4.0242,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 3.5364,                 5.2782,                  4.013,                0.00153,                0.03391,                 0.0022,                0.00043,                 3.3195,                 5.3052,                  4.014,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                 3.5658,                   5.29,                   4.02,                0.00163,                0.03688,                0.00292,                0.00054,                 3.3146,                 5.3102,                 4.0108,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                 3.5719,                 5.3172,                  3.999,                0.00143,                0.03789,                0.00228,                0.00046,                  3.308,                 5.3139,                 4.0044,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                 3.4652,                 5.2449,                 4.0043,                0.00122,                0.03504,                0.00232,                0.00042,                 3.3116,                 5.3179,                 3.9934,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                 3.4076,                 5.3144,                 3.9907,                0.00134,                0.03781,                0.00221,                0.00042,                 3.3075,                 5.2987,                 3.9872,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                 3.5032,                 5.2888,                 3.9943,                0.00144,                0.03337,                 0.0018,                0.00051,                  3.308,                 5.2734,                 3.9707,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 3.4639,                 5.3123,                 3.9932,                0.00159,                0.03496,                0.00236,                0.00067,                 3.3036,                 5.2615,                 3.9624,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                 3.4522,                 5.2262,                 3.9858,                0.00214,                0.04186,                0.00284,                 0.0009,                 3.2941,                 5.2641,                 3.9545,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                 3.4424,                  5.249,                 3.9745,                 0.0013,                0.02827,                0.00195,                0.00063,                 3.2887,                 5.2723,                 3.9544,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                 3.4879,                 5.2321,                 3.9745,                0.00113,                0.02871,                0.00124,                0.00051,                 3.2856,                 5.2593,                  3.956,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                 3.4069,                 5.1857,                 3.9616,                0.00158,                0.03597,                0.00223,                0.00066,                 3.2713,                 5.2676,                  3.961,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                 3.4436,                 5.1902,                 3.9603,                0.00164,                0.03734,                0.00162,                0.00054,                 3.2727,                 5.2888,                 3.9635,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                 3.4903,                 5.2178,                 3.9365,                0.00098,                0.03044,                0.00113,                0.00046,                  3.272,                 5.2968,                 3.9633,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                 3.4061,                 5.1863,                 3.9314,                0.00095,                   0.03,                0.00157,                0.00072,                 3.2758,                 5.2981,                 3.9614,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                 3.4739,                 5.1925,                 3.9352,                0.00075,                 0.0284,                0.00177,                 0.0007,                 3.2737,                 5.2912,                 3.9554,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                 3.4332,                 5.2712,                 3.9337,                0.00098,                0.03574,                0.00207,                0.00069,                 3.2723,                  5.271,                  3.944,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                 3.3775,                 5.2238,                 3.9286,                 0.0012,                0.03285,                 0.0022,                0.00077,                 3.2716,                 5.2631,                 3.9364,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                 3.4444,                 5.2135,                 3.9195,                0.00081,                0.03278,                0.00193,                0.00066,                 3.2669,                 5.2327,                 3.9262,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 3.3697,                 5.1457,                 3.9207,                0.41019,                0.00117,                0.00206,                0.00068,                  3.263,                 5.2081,                 3.9173,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 3.4463,                 5.1278,                 3.9166,                0.00091,                0.03726,                 0.0025,                0.00076,                 3.2714,                 5.1841,                 3.9082,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                   3.43,                 5.1579,                 3.9051,                0.39677,                0.00371,                0.00279,                0.00075,                 3.2687,                 5.1652,                 3.9015,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 3.3758,                 5.2435,                 3.9229,                0.32662,                0.01088,                0.00285,                0.00087,                 3.2654,                  5.157,                    3.9,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                 3.4172,                 5.1748,                 3.8943,                0.35733,                0.00254,                0.00273,                0.00095,                 3.2638,                 5.1557,                  3.895,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 3.4294,                 5.1495,                 3.9097,                0.31366,                0.00271,                0.00248,                0.00075,                 3.2608,                 5.1578,                 3.8905,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                 3.3773,                 5.1256,                 3.8759,                0.00134,                0.03792,                0.00264,                0.00103,                 3.2608,                 5.1734,                  3.885,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                 3.3886,                 5.1557,                 3.8995,                0.00127,                0.03736,                0.00286,                0.00096,                  3.259,                 5.1805,                 3.8819,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 3.4004,                 5.1442,                 3.8794,                0.00343,                0.06024,                0.00456,                0.00216,                 3.2558,                 5.1803,                  3.877,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                 3.3379,                 5.1702,                 3.8804,                0.00231,                0.05254,                0.00446,                0.00241,                 3.2499,                 5.1774,                 3.8739,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                 3.4066,                 5.1316,                 3.8794,                0.00367,                 0.0576,                0.00524,                0.00247,                 3.2484,                 5.1706,                 3.8666,             4.1245e-05,             4.1245e-05,             4.1245e-05
