                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6556,                 4.6275,                 3.9216,                0.16724,                0.18029,                0.06245,                0.01603,                  3.029,                 3.7955,                 3.2208,              0.0033268,              0.0033268,              0.0033268
                      2,                 2.5408,                 2.6595,                 2.5361,                0.62601,                0.52406,                0.56476,                0.28765,                  1.947,                 1.9713,                 1.9627,              0.0066271,              0.0066271,              0.0066271
                      3,                  2.118,                 1.8452,                 2.0789,                0.43986,                0.31797,                0.19702,                0.08655,                  2.362,                 3.8628,                 2.3342,              0.0098945,              0.0098945,              0.0098945
                      4,                 1.9428,                 1.4719,                 1.8696,                0.86231,                0.77286,                 0.8437,                 0.4879,                 1.5154,                 1.0681,                 1.5551,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8175,                 1.2478,                 1.7467,                0.88408,                0.83232,                0.88436,                 0.5472,                 1.3837,                0.90475,                 1.4538,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.7383,                 1.1178,                 1.6788,                0.85995,                0.80121,                0.86946,                0.53743,                 1.3777,                0.97289,                 1.4402,               0.009802,               0.009802,               0.009802
                      7,                  1.678,                 1.0532,                  1.632,                0.91641,                0.80292,                0.88551,                0.55215,                 1.3561,                0.86637,                 1.4186,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.6404,                  1.001,                 1.5896,                0.90554,                0.84018,                0.90685,                0.58313,                 1.2709,                0.81285,                 1.3774,               0.009703,               0.009703,               0.009703
                      9,                 1.6052,                0.95637,                 1.5679,                0.91754,                0.85995,                0.90545,                0.59089,                   1.28,                0.77435,                 1.3738,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5855,                0.91866,                 1.5426,                0.93617,                 0.9084,                 0.9327,                0.61649,                 1.2246,                 0.6705,                 1.3151,               0.009604,               0.009604,               0.009604
                     11,                 1.5619,                0.90323,                 1.5205,                0.94492,                0.88223,                0.92825,                0.61474,                 1.2342,                0.69031,                 1.3173,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5322,                0.87702,                 1.5058,                0.90462,                0.77958,                0.87741,                 0.5308,                 1.4329,                0.92067,                 1.4566,               0.009505,               0.009505,               0.009505
                     13,                 1.5111,                0.86216,                  1.482,                0.94642,                0.89476,                0.93319,                0.63449,                 1.1798,                0.63953,                 1.3043,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4875,                0.84493,                 1.4672,                0.95115,                0.92506,                0.94679,                0.65198,                   1.13,                 0.5923,                 1.2623,               0.009406,               0.009406,               0.009406
                     15,                 1.4728,                0.82475,                 1.4521,                0.95167,                0.91468,                0.94217,                 0.6374,                 1.1683,                0.61358,                   1.28,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4616,                0.81548,                 1.4457,                0.93956,                0.91779,                0.94532,                0.64213,                 1.1754,                0.63983,                 1.2758,               0.009307,               0.009307,               0.009307
                     17,                 1.4491,                0.80392,                 1.4391,                0.95225,                0.92613,                0.95411,                0.66242,                 1.1165,                0.57694,                 1.2427,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4276,                0.78785,                 1.4131,                0.96282,                0.91829,                0.95548,                0.66785,                 1.1047,                0.55957,                 1.2337,               0.009208,               0.009208,               0.009208
                     19,                 1.4253,                0.78414,                  1.415,                0.96023,                0.92842,                0.95862,                0.67179,                 1.0997,                0.55586,                 1.2302,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.4023,                0.76739,                 1.3992,                 0.9636,                0.93433,                0.96245,                0.67626,                 1.0804,                0.54949,                 1.2151,               0.009109,               0.009109,               0.009109
                     21,                 1.3979,                0.76117,                 1.3938,                 0.9523,                0.93476,                 0.9549,                0.65275,                 1.1419,                0.56273,                 1.2517,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3886,                0.75162,                 1.3823,                0.95988,                0.93152,                 0.9606,                0.67812,                 1.0818,                0.54059,                 1.2163,                0.00901,                0.00901,                0.00901
                     23,                 1.3773,                0.74575,                 1.3788,                0.95137,                0.94393,                0.96371,                0.68166,                 1.0599,                0.53178,                 1.2039,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3695,                0.73808,                 1.3666,                0.94158,                0.93233,                0.95944,                0.67333,                 1.0672,                0.54561,                 1.2062,               0.008911,               0.008911,               0.008911
                     25,                  1.357,                0.72633,                 1.3626,                0.95647,                 0.9425,                0.96357,                0.67458,                 1.0838,                 0.5319,                 1.2204,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3444,                0.71507,                 1.3513,                   0.95,                0.93251,                0.95934,                0.67698,                 1.0736,                0.53755,                 1.2096,               0.008812,               0.008812,               0.008812
                     27,                 1.3371,                0.71323,                 1.3495,                0.95618,                0.94321,                 0.9674,                0.69403,                 1.0414,                0.50311,                 1.1897,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.3352,                0.70882,                  1.346,                0.95498,                0.94191,                0.96394,                0.69155,                  1.044,                0.50325,                 1.1928,               0.008713,               0.008713,               0.008713
                     29,                 1.3214,                0.70074,                 1.3351,                0.95854,                0.94708,                0.96519,                0.69595,                 1.0197,                0.48799,                 1.1793,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.3065,                0.68683,                 1.3211,                0.96198,                0.94501,                0.96794,                0.69366,                 1.0345,                0.50221,                 1.1875,               0.008614,               0.008614,               0.008614
                     31,                  1.304,                 0.6829,                 1.3258,                0.96428,                 0.9443,                0.96869,                0.69983,                 1.0233,                0.48027,                  1.177,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2964,                0.66805,                 1.3176,                0.96496,                0.94968,                0.96955,                0.70455,                 1.0126,                0.47932,                 1.1748,               0.008515,               0.008515,               0.008515
                     33,                 1.2844,                0.66856,                 1.3011,                0.96164,                0.94861,                0.96926,                0.70181,                 1.0086,                0.47734,                 1.1699,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2734,                0.66018,                 1.3031,                0.95927,                0.95136,                0.97137,                0.69867,                 1.0188,                0.47662,                 1.1747,               0.008416,               0.008416,               0.008416
                     35,                 1.2739,                0.65987,                 1.3002,                0.95935,                0.94524,                0.96936,                 0.7036,                 1.0212,                0.48055,                 1.1797,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2656,                0.65211,                 1.2951,                0.96252,                0.95292,                 0.9708,                0.71151,                0.99587,                 0.4674,                 1.1617,               0.008317,               0.008317,               0.008317
                     37,                 1.2533,                0.64176,                 1.2844,                0.96404,                0.95391,                0.97447,                0.71087,                0.99922,                0.45788,                 1.1591,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2582,                0.64059,                 1.2927,                0.96497,                0.94763,                0.97341,                0.71443,                 1.0003,                0.46469,                 1.1605,               0.008218,               0.008218,               0.008218
                     39,                 1.2468,                0.63889,                 1.2812,                  0.959,                0.95821,                0.97493,                0.71753,                 0.9799,                0.45663,                 1.1565,              0.0081685,              0.0081685,              0.0081685
                     40,                  1.242,                0.63383,                 1.2806,                0.96633,                0.94919,                0.97451,                0.71122,                0.99416,                0.46248,                 1.1609,               0.008119,               0.008119,               0.008119
                     41,                 1.2303,                0.62905,                 1.2711,                0.96688,                0.95655,                0.97409,                0.71442,                0.98965,                0.45362,                 1.1576,              0.0080695,              0.0080695,              0.0080695
