                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3034,                0.96901,                 1.4196,                0.77117,                0.83266,                0.80904,                0.61263,                0.90848,                0.79112,                 1.1547,               0.003317,               0.003317,               0.003317
                      2,                 1.1035,                0.56755,                 1.2567,                 0.9321,                0.95664,                0.98212,                0.76647,                0.77316,                0.63653,                0.99841,              0.0066394,              0.0066394,              0.0066394
                      3,                 1.0347,                0.52333,                  1.216,                0.94775,                0.95843,                0.98065,                0.74132,                0.80711,                0.39429,                 1.0122,              0.0099507,              0.0099507,              0.0099507
                      4,                 1.0273,                0.51665,                 1.2119,                0.94702,                0.96716,                0.98095,                0.75104,                0.78158,                0.45078,                 1.0035,              0.0099505,              0.0099505,              0.0099505
                      5,                 1.0118,                0.51285,                 1.1911,                0.96377,                0.96786,                0.98592,                0.78075,                 0.7057,                0.35208,                0.96481,              0.0099505,              0.0099505,              0.0099505
                      6,                0.99378,                0.50279,                 1.1958,                0.97195,                0.96463,                0.98733,                0.78084,                0.71801,                  0.951,                 0.9629,               0.009934,               0.009934,               0.009934
                      7,                 1.0017,                0.50643,                 1.1886,                0.96247,                0.95683,                0.98339,                0.74831,                0.79091,                0.38338,                0.98877,              0.0099175,              0.0099175,              0.0099175
                      8,                0.98358,                0.50237,                 1.1765,                0.93767,                0.96081,                0.98513,                0.77766,                0.73049,                0.40498,                0.96407,               0.009901,               0.009901,               0.009901
                      9,                0.96421,                0.49049,                 1.1649,                0.94325,                0.94809,                0.97798,                0.75708,                0.77927,                0.39208,                0.99927,              0.0098845,              0.0098845,              0.0098845
                     10,                0.96231,                0.48013,                 1.1697,                0.97316,                0.98676,                0.99202,                0.80887,                0.68692,                0.37235,                0.94796,               0.009868,               0.009868,               0.009868
                     11,                0.95868,                0.47114,                 1.1687,                0.98574,                0.97046,                0.99027,                0.79618,                0.68576,                0.34256,                0.94369,              0.0098515,              0.0098515,              0.0098515
                     12,                0.92787,                0.45557,                 1.1474,                0.98628,                0.96104,                0.99005,                0.79696,                0.73551,                0.34584,                0.97445,               0.009835,               0.009835,               0.009835
                     13,                0.93952,                0.46289,                 1.1639,                 0.9461,                0.96252,                0.98505,                0.77908,                0.73579,                0.43383,                0.99297,              0.0098185,              0.0098185,              0.0098185
