                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3098,                 3.8433,                 3.7881,                  2e-05,                0.00231,                  1e-05,                  1e-05,                 3.0979,                 4.5583,                 3.8699,             0.00047147,             0.00047147,             0.00047147
                      2,                 2.6946,                 2.7337,                  2.786,                0.13829,                 0.4981,                0.21753,                0.05971,                 2.7577,                 5.1787,                 2.9433,             0.00093842,             0.00093842,             0.00093842
                      3,                  2.287,                 2.2705,                 2.3749,                0.19348,                0.49825,                0.35282,                0.11088,                 2.1332,                 3.6678,                 2.3796,              0.0013959,              0.0013959,              0.0013959
                      4,                 2.0562,                 1.9132,                 2.1465,                0.45598,                0.52751,                0.55581,                0.30432,                 1.7217,                 2.2498,                 1.9047,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9249,                 1.6924,                  2.005,                0.49887,                0.55423,                0.54395,                0.18529,                 2.0031,                 2.1619,                 2.0577,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.8493,                 1.5387,                 1.9275,                 0.7373,                0.69119,                0.72393,                0.40646,                 1.5413,                 1.4345,                  1.701,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.8085,                 1.4363,                 1.8912,                0.72163,                0.70748,                0.75718,                0.46689,                 1.4137,                 1.3001,                 1.6101,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.7643,                 1.3465,                 1.8426,                0.82037,                0.73746,                0.81372,                0.41056,                 1.7412,                 1.3518,                  1.804,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.7021,                 1.2601,                 1.7889,                0.86484,                0.79263,                0.87485,                0.55061,                 1.3544,                  1.049,                 1.5444,                0.00133,                0.00133,                0.00133
                     10,                 1.6649,                 1.1724,                 1.7588,                0.78765,                0.71469,                0.82482,                0.50472,                 1.3863,                 1.2059,                 1.5689,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.6211,                 1.1058,                  1.716,                0.91647,                0.82964,                0.90627,                0.44871,                 1.6794,                 1.0077,                 1.7344,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.6115,                 1.0935,                 1.7144,                0.70716,                0.80898,                0.84635,                0.52595,                 1.3554,                 1.1234,                 1.5417,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.5771,                  1.024,                 1.6795,                0.82973,                0.78578,                0.86633,                0.53988,                 1.3343,                 1.1167,                 1.5188,              0.0012734,              0.0012734,              0.0012734
