                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2916,                0.71096,                 1.4545,                 0.9632,                0.94171,                0.97579,                0.66326,                  1.128,                 0.5898,                 1.3834,             0.00084543,             0.00084543,             0.00084543
                     36,                 1.2862,                0.72211,                  1.448,                0.96321,                0.93691,                0.96143,                0.68898,                 1.0483,                0.59403,                 1.3219,             0.00082775,             0.00082775,             0.00082775
                     37,                  1.282,                0.71681,                 1.4452,                 0.9656,                0.94712,                0.97882,                 0.7064,                 1.0337,                0.55674,                 1.2864,             0.00081006,             0.00081006,             0.00081006
                     38,                 1.2712,                0.70724,                 1.4438,                0.96956,                0.95406,                0.98179,                0.69213,                  1.064,                0.55702,                 1.3157,             0.00079238,             0.00079238,             0.00079238
                     39,                  1.279,                0.69778,                 1.4305,                0.95996,                0.95667,                0.97689,                0.65837,                 1.1618,                0.59094,                 1.3729,              0.0007747,              0.0007747,              0.0007747
                     40,                 1.2702,                0.69157,                 1.4346,                0.98884,                0.94184,                0.97999,                0.69082,                 1.0603,                0.55617,                 1.3054,             0.00075701,             0.00075701,             0.00075701
                     41,                 1.2573,                0.68414,                 1.4208,                0.97621,                0.96041,                0.98409,                0.70596,                 1.0602,                0.53637,                 1.2991,             0.00073933,             0.00073933,             0.00073933
                     42,                 1.2318,                0.67697,                 1.4109,                0.96651,                0.96226,                0.98218,                0.70315,                   1.05,                0.55629,                 1.3048,             0.00072164,             0.00072164,             0.00072164
                     43,                 1.2143,                 0.6549,                 1.3929,                0.98606,                 0.9563,                0.98586,                0.70923,                 1.0311,                0.52442,                 1.2944,             0.00070396,             0.00070396,             0.00070396
                     44,                 1.2124,                0.65847,                 1.3977,                0.97569,                 0.9603,                0.98189,                0.71188,                 1.0175,                0.52053,                 1.2887,             0.00068628,             0.00068628,             0.00068628
                     45,                 1.2252,                0.66208,                 1.4051,                0.96574,                0.96177,                0.98224,                 0.7234,                0.98533,                0.51989,                 1.2707,             0.00066859,             0.00066859,             0.00066859
                     46,                 1.1935,                0.65575,                 1.3826,                0.96866,                0.95823,                0.98272,                0.70335,                 1.0464,                0.53482,                  1.298,             0.00065091,             0.00065091,             0.00065091
                     47,                 1.2006,                0.64683,                 1.3858,                0.96862,                0.95811,                0.98116,                0.71511,                 1.0222,                 0.5162,                  1.284,             0.00063323,             0.00063323,             0.00063323
                     48,                 1.2179,                0.65186,                 1.3972,                0.97515,                0.95187,                0.98308,                0.72117,                 1.0024,                0.51334,                 1.2691,             0.00061554,             0.00061554,             0.00061554
                     49,                 1.1962,                0.64682,                 1.3798,                0.96637,                0.95811,                0.98124,                 0.7173,                 1.0025,                0.52701,                  1.284,             0.00059786,             0.00059786,             0.00059786
                     50,                 1.1828,                 0.6381,                 1.3715,                0.97506,                0.96734,                  0.979,                0.70843,                 1.0451,                0.52781,                 1.2864,             0.00058017,             0.00058017,             0.00058017
                     51,                 1.1784,                0.62978,                 1.3596,                0.97535,                0.96565,                0.98545,                0.71547,                0.99995,                0.50408,                 1.2788,             0.00056249,             0.00056249,             0.00056249
                     52,                 1.1759,                0.63466,                 1.3769,                0.97417,                0.97191,                0.98433,                0.73993,                0.94934,                 0.4864,                 1.2451,             0.00054481,             0.00054481,             0.00054481
                     53,                 1.1747,                0.63551,                 1.3722,                0.98391,                0.95822,                0.98442,                0.73054,                0.99272,                0.50658,                 1.2599,             0.00052712,             0.00052712,             0.00052712
                     54,                 1.1605,                0.61528,                 1.3551,                0.96759,                 0.9691,                0.98479,                0.72608,                0.97682,                0.49244,                 1.2566,             0.00050944,             0.00050944,             0.00050944
                     55,                 1.1533,                0.61701,                 1.3528,                0.97881,                0.96889,                0.98544,                0.73838,                0.96514,                0.47407,                  1.238,             0.00049175,             0.00049175,             0.00049175
                     56,                 1.1441,                0.61755,                 1.3585,                0.97336,                 0.9762,                0.98716,                0.72793,                0.99732,                0.48657,                 1.2577,             0.00047407,             0.00047407,             0.00047407
